2021-05-19 23:36:20,906 | DEBUG | Init CLI
2021-05-19 23:36:20,918 | DEBUG | Load Files from command line: ['data/1.jpg', 'data/2.jpg', 'data/1.mp4', 'data/3.jpg']
2021-05-19 23:36:20,918 | DEBUG | Save config: None
2021-05-19 23:36:20,919 | DEBUG | Temporary directory /home/anishmohan/Documents/Workspace/kburns-slideshow/temp created
2021-05-19 23:36:21,989 | DEBUG | Init SlideManager
2021-05-19 23:36:21,989 | DEBUG | Slide: data/1.jpg
2021-05-19 23:36:22,067 | DEBUG | added valid video/image file
2021-05-19 23:36:22,067 | DEBUG | Slide: data/2.jpg
2021-05-19 23:36:22,068 | DEBUG | added valid video/image file
2021-05-19 23:36:22,068 | DEBUG | Slide: data/1.mp4
2021-05-19 23:38:35,339 | DEBUG | Init CLI
2021-05-19 23:38:35,347 | DEBUG | Load Files from command line: ['data/1.jpg', 'data/2.jpg', 'data/1.mp4', 'data/3.jpg']
2021-05-19 23:38:35,347 | DEBUG | Save config: None
2021-05-19 23:38:35,442 | DEBUG | Init SlideManager
2021-05-19 23:38:35,443 | DEBUG | Slide: data/1.jpg
2021-05-19 23:38:35,460 | DEBUG | added valid video/image file
2021-05-19 23:38:35,460 | DEBUG | Slide: data/2.jpg
2021-05-19 23:38:35,461 | DEBUG | added valid video/image file
2021-05-19 23:38:35,461 | DEBUG | Slide: data/1.mp4
2021-05-19 23:39:32,703 | DEBUG | Init CLI
2021-05-19 23:39:32,712 | DEBUG | Load Files from command line: ['data/1.jpg', 'data/2.jpg', 'data/1.mp4', 'data/3.jpg']
2021-05-19 23:39:32,712 | DEBUG | Save config: None
2021-05-19 23:39:32,806 | DEBUG | Init SlideManager
2021-05-19 23:39:32,807 | DEBUG | Slide: data/1.jpg
2021-05-19 23:39:32,824 | DEBUG | added valid video/image file
2021-05-19 23:39:32,824 | DEBUG | Slide: data/2.jpg
2021-05-19 23:39:32,825 | DEBUG | added valid video/image file
2021-05-19 23:39:32,825 | DEBUG | Slide: data/1.mp4
2021-05-19 23:40:08,778 | DEBUG | Init CLI
2021-05-19 23:40:08,785 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-19 23:40:08,786 | DEBUG | Save config: None
2021-05-19 23:40:08,880 | DEBUG | Init SlideManager
2021-05-19 23:40:08,881 | DEBUG | Slide: ./data/1.jpg
2021-05-19 23:40:08,899 | DEBUG | added valid video/image file
2021-05-19 23:40:08,899 | DEBUG | Slide: ./data/2.jpg
2021-05-19 23:40:08,900 | DEBUG | added valid video/image file
2021-05-19 23:40:08,900 | DEBUG | Slide: ./data/1.mp4
2021-05-19 23:40:15,005 | DEBUG | Init CLI
2021-05-19 23:40:15,013 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-19 23:40:15,037 | DEBUG | Save config: None
2021-05-19 23:40:15,128 | DEBUG | Init SlideManager
2021-05-19 23:40:15,129 | DEBUG | Slide: ./data/1.jpg
2021-05-19 23:40:15,144 | DEBUG | added valid video/image file
2021-05-19 23:40:15,144 | DEBUG | Slide: ./data/2.jpg
2021-05-19 23:40:15,144 | DEBUG | added valid video/image file
2021-05-19 23:40:15,145 | DEBUG | Slide: ./data/1.mp4
2021-05-19 23:45:13,945 | DEBUG | Init CLI
2021-05-19 23:45:13,975 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-19 23:45:13,976 | DEBUG | Save config: None
2021-05-19 23:45:14,320 | DEBUG | Init SlideManager
2021-05-19 23:45:14,320 | DEBUG | Slide: ./data/1.jpg
2021-05-19 23:45:14,336 | DEBUG | added valid video/image file
2021-05-19 23:45:14,336 | DEBUG | Slide: ./data/2.jpg
2021-05-19 23:45:14,337 | DEBUG | added valid video/image file
2021-05-19 23:45:14,337 | DEBUG | Slide: ./data/1.mp4
2021-05-19 23:48:45,078 | DEBUG | Init CLI
2021-05-19 23:48:45,086 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-19 23:48:45,086 | DEBUG | Save config: None
